,data,BA,roc_auc,cv
223,ToeSegmentation2,0.5739247311827957,0.799731182795699,3.0
224,ToeSegmentation2,0.7446236559139785,0.8440860215053764,4.0
225,ToeSegmentation2,0.5739247311827957,0.7459677419354839,5.0
226,ToeSegmentation2,0.5510752688172043,0.8131720430107527,6.0
227,ToeSegmentation2,0.4784946236559139,0.7728494623655914,7.0
228,ToeSegmentation2,0.6733870967741935,0.8615591397849462,8.0
229,ToeSegmentation2,0.6814516129032258,0.8709677419354839,9.0
250,Wafer,0.5436317333868881,0.6093756973267282,0.0
251,Wafer,0.5420655375552282,0.5286922055607622,1.0
252,Wafer,0.5432412304190655,0.5997084244506925,2.0
253,Wafer,0.5448074262507252,0.4735634139628984,3.0
254,Wafer,0.5492717119650109,0.5292249631811488,4.0
255,Wafer,0.5447293256571607,0.5358342259115456,5.0
256,Wafer,0.546686024456643,0.5971617872391068,6.0
257,Wafer,0.5491936113714464,0.5258657078889037,7.0
258,Wafer,0.5492717119650109,0.5230726819000014,8.0
259,Wafer,0.5510722095773642,0.5192741107689561,9.0
260,Wine,0.5701754385964912,0.5906432748538012,0.0
261,Wine,0.4210526315789473,0.3742690058479532,1.0
262,Wine,0.4473684210526316,0.2807017543859649,2.0
263,Wine,0.6052631578947368,0.6140350877192983,3.0
264,Wine,0.4561403508771929,0.1754385964912281,4.0
265,Wine,0.4122807017543859,0.5029239766081872,5.0
266,Wine,0.7105263157894737,0.5438596491228069,6.0
267,Wine,0.3947368421052631,0.2748538011695907,7.0
268,Wine,0.7807017543859649,0.6549707602339182,8.0
269,Wine,0.4210526315789473,0.0584795321637426,9.0
