,AUC,Accuracy,BA,Kappa,MCC,Sensitivity,Specificity,cv,data,f1_score,pr_auc,prediction_time,roc_auc,train_time
89,0.3820086563053315,0.9397849462365592,0.6179913436946685,0.2692782579414076,0.2726413525545426,0.2608695652173913,0.9751131221719456,9.0,ECGFiveDays,0.9685393258426966,0.9907289826061708,0.0001718997955322,0.8508754672437538,44.11537003517151
100,0.425,0.9142857142857144,0.575,0.136986301369863,0.137620470640795,0.2,0.95,0.0,GunPoint,0.9547738693467336,0.9957945222381636,5.435943603515625e-05,0.918,2.4631240367889404
101,0.13,0.9333333333333332,0.87,0.5016949152542373,0.5368524250814087,0.8,0.94,1.0,GunPoint,0.964102564102564,0.9979324108580896,5.030632019042969e-05,0.96,2.5194928646087646
102,0.325,0.923809523809524,0.675,0.2941176470588236,0.2988071523335984,0.4,0.95,2.0,GunPoint,0.9595959595959594,0.986890279323961,4.9591064453125e-05,0.8140000000000001,2.4884424209594727
103,0.225,0.9333333333333332,0.7749999999999999,0.4280155642023345,0.4414858931092056,0.6,0.95,3.0,GunPoint,0.964467005076142,0.996831307046466,5.53131103515625e-05,0.938,2.4860243797302246
104,0.23,0.923809523809524,0.77,0.3913043478260869,0.4107919181288746,0.6,0.94,4.0,GunPoint,0.9591836734693876,0.9951745578200792,4.792213439941406e-05,0.91,2.4931366443634038
105,0.24,0.9047619047619048,0.76,0.3312101910828026,0.361599712432059,0.6,0.92,5.0,GunPoint,0.9484536082474226,0.9928104353486292,4.935264587402344e-05,0.87,2.507641315460205
106,0.44,0.8857142857142857,0.56,0.0869565217391303,0.0912870929175276,0.2,0.92,6.0,GunPoint,0.9387755102040816,0.9911692229028064,5.1021575927734375e-05,0.838,2.4844040870666504
107,0.43,0.9047619047619048,0.57,0.1176470588235294,0.1195228609334393,0.2,0.94,7.0,GunPoint,0.9494949494949496,0.9868449517409712,4.76837158203125e-05,0.7839999999999999,2.4820303916931152
108,0.315,0.9428571428571428,0.685,0.37,0.37,0.4,0.97,8.0,GunPoint,0.97,0.9869107347356958,4.9591064453125e-05,0.816,2.503415822982788
109,0.3349999999999999,0.9047619047619048,0.665,0.2391304347826086,0.2510395055232011,0.4,0.93,9.0,GunPoint,0.9489795918367346,0.996629406746194,5.030632019042969e-05,0.934,2.5299606323242188
